time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
165,8,0.0321239,0.046186,-0.0466067,-0.11949,0.31585,-0.226112,-0.0507506,-0.34896,-0.0397756,-0.0299714,-0.222486,-0.122782,0.125887,-0.234518,0.193451,0.156433
166.5,0,0.0344729,0.0570078,-0.0464726,-0.104661,0.330933,-0.22465,-0.00629693,-0.339537,-0.0286258,-0.0293318,-0.210321,-0.140714,0.143567,-0.198993,0.287452,0.12171
168,69,0.019729,0.0756374,-0.0543992,-0.0754794,0.334363,-0.19879,0.0523188,-0.308105,-0.043538,-0.0464375,-0.199977,-0.150493,0.138459,-0.179729,0.363553,0.115263
169.5,-13,0.0292266,0.0484222,-0.0736041,-0.0860714,0.372705,-0.234003,0.064829,-0.287635,-0.0441736,-0.0404186,-0.186231,-0.117954,0.120409,-0.182089,0.403706,0.101066
171,2,0.00475329,0.0870939,-0.0453711,-0.0858144,0.317934,-0.194937,0.0938301,-0.305277,-0.0447456,-0.0636846,-0.206125,-0.121263,0.104164,-0.1391,0.360502,0.0848536
172.5,47,-0.00528078,0.0732377,-0.0511445,-0.059093,0.281068,-0.195286,0.0995927,-0.325948,-0.0755087,-0.0637993,-0.205477,-0.137757,0.111405,-0.131544,0.449133,0.111475
174,12,-0.0193515,0.0724644,-0.0598613,-0.0180556,0.294811,-0.214661,0.087037,-0.29411,-0.120658,-0.0715645,-0.190172,-0.155384,0.126959,-0.125379,0.465144,0.132763
175.5,9,-0.0254109,0.0715345,-0.0777656,-0.0277674,0.31631,-0.21095,0.108192,-0.262177,-0.0699246,-0.0836611,-0.176802,-0.151374,0.159036,-0.192902,0.469635,0.142763
177,27,-0.0458108,0.0868398,-0.0750186,-0.028158,0.311818,-0.200821,0.104729,-0.293714,-0.0810188,-0.080403,-0.194211,-0.167242,0.115806,-0.175518,0.455259,0.134974
178.5,-4,-0.0561761,0.0795595,-0.0695285,-0.0325406,0.305746,-0.208676,0.0851688,-0.307722,-0.116886,-0.0497698,-0.212097,-0.169995,0.0996013,-0.182112,0.419651,0.169176
180,47,-0.0648097,0.0650531,-0.135253,-0.0462747,0.308651,-0.225145,0.061939,-0.347064,-0.128897,-0.0442034,-0.243924,-0.201094,0.0835454,-0.141026,0.340848,0.172483
181.5,24,-0.0421658,0.0491899,-0.0998488,-0.0223556,0.322679,-0.205503,0.0756508,-0.354476,-0.104781,-0.0397831,-0.259259,-0.221927,0.0512282,-0.171402,0.350685,0.167064
183,-6,-0.024567,0.0452067,-0.0740209,-0.0443066,0.323129,-0.20349,0.0438527,-0.343745,-0.0977332,-0.0208738,-0.254911,-0.220007,0.0429524,-0.205094,0.365206,0.147305
184.5,-7,-0.0302786,0.0512136,-0.0827133,-0.0473623,0.358029,-0.225439,0.0407657,-0.343166,-0.106982,-0.0168218,-0.252813,-0.212714,0.0512691,-0.300864,0.330102,0.139061
186,-14,-0.0242963,0.0591932,-0.0882733,0.0149611,0.37625,-0.180441,0.0423146,-0.32146,-0.0744552,-0.00433436,-0.231363,-0.230795,0.0675825,-0.364817,0.271589,0.120576
187.5,70,-0.0251687,0.0635675,-0.10736,-0.00467496,0.336089,-0.232632,0.0424105,-0.326136,-0.0517296,0.0086725,-0.241299,-0.233951,0.0614548,-0.316263,0.325189,0.0619641
189,4,-0.0148311,0.0621236,-0.158739,-0.0217715,0.331394,-0.195008,0.0494204,-0.33665,-0.0808588,0.00407252,-0.25125,-0.225264,0.0353404,-0.318948,0.349344,0.0542413
