time,value3,value1,value2
1042.5,-101,0.198271,-4.41261
1044,-34,0.182633,-4.42366
1045.5,-65,0.147168,-4.44536
1047,-2,0.256077,-4.43994
1048.5,-59,0.258591,-4.36399
1050,2,0.297128,-4.34208
1051.5,-56,0.121755,-4.49293
1053,1,0.271436,-4.50629
1054.5,-107,0.335665,-4.40134
1056,-21,0.268365,-4.50733
1057.5,-112,0.21391,-4.43994
1059,-18,0.425585,-4.43931
1060.5,-10,0.396543,-4.39779
1062,-17,0.328963,-4.39675
1063.5,-24,0.325333,-4.47123
1065,-13,0.295452,-4.41052
1066.5,-73,0.203298,-4.44244
1068,-44,0.284841,-4.34041
1069.5,18,0.208045,-4.38819
1071,3,0.286516,-4.43702
1072.5,-19,0.293777,-4.53737
1074,-49,0.141303,-4.41594
1075.5,24,0.256077,-4.44787
1077,-45,0.203298,-4.42471
1078.5,28,0.323099,-4.38903
1080,-55,0.301317,-4.42366
1081.5,6,0.194362,-4.37234
1083,-19,0.147726,-4.29535
1084.5,2,0.268085,-4.43931
1086,-476,0.226197,-4.33123
1087.5,-161,0.33371,-4.4174
1089,409,0.248258,-4.41553
1090.5,134,0.170625,-4.43931
1092,-79,0.179003,-4.44912
1093.5,-100,0.196317,-4.4005
1095,-71,0.133763,-4.44098
1096.5,-97,0.215865,-4.43117
1098,79,0.160013,-4.4414
1099.5,-52,0.295173,-4.4341
1101,-36,0.299641,-4.32518
1102.5,-32,0.261383,-4.41365
1104,20,0.189335,-4.3352
1105.5,-47,0.337061,-4.38986
1107,-39,0.186263,-4.4101
1108.5,-92,0.294056,-4.50128
1110,-38,0.272553,-4.34584
1111.5,-69,0.215865,-4.38506
1113,8,0.371689,-4.47436
1114.5,-90,0.266689,-4.43034
1116,-16,0.244349,-4.44995
1117.5,-40,0.389561,-4.4631
1119,-15,0.250213,-4.47833
1120.5,-69,0.251609,-4.38799
1122,10,0.248817,-4.38694
1123.5,3,0.298803,-4.3617
1125,-96,0.165878,-4.39112
1126.5,35,0.251609,-4.34167
1128,-77,0.154708,-4.44599
1129.5,-10,0.258032,-4.34855
1131,-45,0.22871,-4.42304
1132.5,-4,0.131529,-4.37964
1134,-69,0.024016,-4.39466
1135.5,-22,0.139628,-4.40322
1137,-1,0.155545,-4.36754
1138.5,22,0.203857,-4.44119
1140,-43,0.368338,-4.36107
1141.5,4,0.292101,-4.46477
1143,-95,0.284841,-4.35898
1144.5,105,0.229548,-4.41553
1146,195,0.375599,-4.41907
1147.5,-599,0.24379,-4.41886
1149,-291,0.340412,-4.4512
