time,value4,value1,value2,value3
618,-2,-0.0211116,-0.0495342,0.0610986
619.5,-17,-0.0139917,-0.0531813,0.0566279
621,-9,-0.0179544,-0.0500834,0.0667077
622.5,-19,-0.0177923,-0.0450923,0.0681692
624,-7,-0.00360939,-0.0436123,0.0554736
625.5,-22,-0.00361191,-0.0566674,0.0565758
627,-23,-0.0114857,-0.0555374,0.060446
628.5,3,-0.0253667,-0.0595448,0.030878
630,-20,-0.025171,-0.0672433,0.0164669
631.5,-70,-0.0476638,-0.0631606,0.0310345
633,76,-0.0436848,-0.0667094,0.0234724
634.5,23,-0.05639,-0.0534056,0.0238165
636,-38,-0.0549638,-0.0501867,0.0236053
637.5,-64,-0.0559477,-0.0670287,0.00786884
639,-63,-0.0379005,-0.0682429,0.0208897
640.5,29,-0.0438908,-0.0658639,0.0202909
642,3,-0.0320219,-0.0762581,0.0201593
643.5,31,-0.0440655,-0.0714384,0.0265522
645,-47,-0.0537003,-0.0748165,0.0254464
646.5,-29,-0.055613,-0.069181,0.0107664
648,20,-0.0545354,-0.0811201,0.00287951
649.5,17,-0.0556533,-0.0827141,0.0113383
651,-16,-0.0603628,-0.0880631,0.0029201
652.5,-10,-0.0690562,-0.0864791,0.0162357
654,-26,-0.0805989,-0.0747419,0.0317183
655.5,-57,-0.0650103,-0.0645146,0.0238457
657,32,-0.0756719,-0.0663458,0.0195978
658.5,13,-0.0778264,-0.0742451,0.0104659
660,-12,-0.0728373,-0.0764907,0.0132028
661.5,-13,-0.0835271,-0.0738708,0.0176858
663,-7,-0.0879258,-0.0695667,0.0266583
664.5,-11,-0.0823656,-0.0730526,0.0209096
666,-36,-0.0542056,-0.0793059,0.0216968
667.5,-14,-0.0692978,-0.0743716,0.0123188
669,31,-0.0692501,-0.0783814,-0.00251557
670.5,-35,-0.0724475,-0.0801044,0.0101149
672,-6,-0.0672303,-0.0853281,0.00399157
673.5,-21,-0.0754195,-0.0777807,0.0152859
675,-9,-0.0779143,-0.0825173,0.00381947
676.5,-32,-0.0777369,-0.071306,0.00128338
678,-5,-0.0620447,-0.0751293,0.0113472
679.5,-16,-0.0572178,-0.0803962,0.00852174
681,-6,-0.0581855,-0.0718935,-0.00134862
682.5,-16,-0.0571729,-0.0834423,-0.0046233
684,-4,-0.0693053,-0.078861,0.00120097
685.5,-20,-0.0696907,-0.0815922,0.00808432
687,-16,-0.0774845,-0.0859472,0.000247387
688.5,-5,-0.0845887,-0.0825401,0.00867667
690,-4,-0.0761706,-0.0757787,0.0256363
691.5,-17,-0.0611779,-0.0828955,0.0352774
693,-11,-0.0612088,-0.0944141,0.0466736
694.5,-17,-0.0692018,-0.0902655,0.0349412
696,-10,-0.0645371,-0.0947134,0.0352155
697.5,-4,-0.0720094,-0.0900861,0.0296319
699,-22,-0.076635,-0.096207,0.0364236
700.5,13,-0.0638675,-0.0904053,0.03522
702,-21,-0.0601731,-0.075332,0.0340833
703.5,-9,-0.0600669,-0.0728296,0.0375524
705,-14,-0.0509028,-0.0706754,0.0497098
706.5,6,-0.0432818,-0.0581013,0.0454319
708,-16,-0.0436562,-0.0549332,0.0427046
709.5,-5,-0.0424587,-0.0641251,0.0381946
711,-22,-0.0370094,-0.0607041,0.027185
712.5,-1,-0.046655,-0.0547691,0.0321727
714,-21,-0.0506046,-0.0649076,0.0297343
715.5,-1,-0.0412564,-0.0641094,0.0247952
717,-12,-0.0320875,-0.0770247,0.0351604
718.5,-12,-0.0349906,-0.0795901,0.050055
720,-24,-0.0259642,-0.0763122,0.0455691
721.5,-7,-0.0129478,-0.066913,0.0483394
723,-16,-0.0229628,-0.0644953,0.0494437
724.5,-7,-0.0440621,-0.0672061,0.0372963
726,-16,-0.0500757,-0.060085,0.0265706
727.5,-21,-0.0361005,-0.0671043,0.0416889
729,0,-0.0354966,-0.0583664,0.0440886
730.5,-31,-0.0409052,-0.0575058,0.0467033
732,-2,-0.0468257,-0.0704093,0.0428877
733.5,-9,-0.0248078,-0.0834352,0.0541519
735,-9,-0.0203292,-0.0852896,0.0626767
736.5,-25,-0.0218653,-0.0844507,0.0579599
738,-5,-0.03425,-0.0778783,0.0560281
739.5,-17,-0.0399079,-0.0773033,0.052363
741,-1,-0.0355483,-0.0762722,0.0595777
742.5,-22,-0.0321572,-0.0758661,0.0587471
744,-2,-0.0396342,-0.0625585,0.0564841
745.5,-22,-0.034943,-0.055415,0.0476545
747,-5,-0.0265539,-0.0533933,0.0438224
748.5,-14,-0.0470316,-0.0587814,0.0399228
750,4,-0.0364662,-0.0633202,0.0458726
751.5,-15,-0.0411014,-0.0559102,0.0396517
753,-10,-0.0479003,-0.0501345,0.0424588
754.5,-15,-0.0596175,-0.0543088,0.0269478
756,-6,-0.0575458,-0.0598944,0.0259018
757.5,0,-0.0478717,-0.057548,0.037123
759,-24,-0.0419194,-0.0430687,0.0398799
760.5,4,-0.0352741,-0.0487322,0.0401742
762,-15,-0.0423208,-0.0494177,0.0309231
763.5,-16,-0.0536568,-0.046235,0.0357192
765,-9,-0.0521494,-0.0502754,0.0330927
766.5,-1,-0.0502191,-0.0608177,0.023312
768,-14,-0.0539871,-0.0592764,0.0241747
769.5,-9,-0.0523654,-0.054655,0.0242741
771,-28,-0.049088,-0.0564022,0.02901
772.5,2,-0.0366143,-0.0651861,0.0272042
774,-20,-0.015383,-0.0633423,0.0359062
775.5,-4,-0.0151557,-0.0484656,0.0309141
777,-22,-0.0366091,-0.0591033,0.0390826
778.5,-8,-0.0361449,-0.0641489,0.0276522
780,-19,-0.0477985,-0.0506338,0.0363341
781.5,-16,-0.0637859,-0.0475505,0.0336889
783,-9,-0.0491936,-0.0595515,0.0225728
784.5,1,-0.0495447,-0.0562837,0.0208381
786,-22,-0.0505983,-0.0541644,0.0197632
787.5,-26,-0.025218,-0.0649569,0.0188684
789,2,-0.0226374,-0.061103,0.014782
790.5,-17,-0.0391174,-0.0634642,0.0148488
792,-11,-0.0268992,-0.0653152,0.0125045
793.5,-7,-0.0215194,-0.0600951,0.012436
795,-12,-0.0275019,-0.0563379,0.0166206
796.5,-19,-0.0296319,-0.0494487,0.0217753
